time,sensor_x0[undefined],sensor_y0[undefined],sensor_z0[undefined],sensor_x[undefined],sensor_y[undefined],sensor_z[undefined],sensor_alpha[undefined],sensor_beta[undefined],sensor_gamma[undefined]
1653647265783,-0.23,-0.17,-1.02,-4.66,5.53,8.58,20.19,55.68,3.87
1653647265788,-0.31,-0.01,-1.13,-4.6,5.46,8.69,20.65,53.37,4.22
1653647265935,-0.06,-0.45,-1.06,-4.71,5.6,7.97,17.99,73.85,1.91
1653647265948,-0.28,0.17,-2.31,-4.55,5.39,8.8,21.03,51.1,4.26
1653647265949,0.17,0.59,-1.13,-4.5,5.31,8.9,21.56,48.61,4.5
1653647265950,-2.79,2.67,1.19,-4.45,5.24,8.99,21.94,46.27,4.4
1653647265951,-2.58,2.45,1.59,-4.16,4.88,9.33,23.41,39.16,4.54
1653647265956,-2.3,2.08,1.94,-3.94,4.66,9.54,24.71,32.34,4.75
1653647265961,-1.95,1.71,2.24,-3.64,4.44,9.75,25.86,21.21,5.34
1653647265965,-1.61,1.42,2.47,-3.42,4.3,9.92,25.79,14.7,6.08
1653647265970,-1.35,1.21,2.62,-3.31,4.33,10.01,24.99,8.08,7.27
1653647265975,-1.16,1.16,2.73,-3.24,4.49,10.19,22.43,-0.94,9.47
1653647265980,-1.08,1.27,2.85,-3.2,4.76,10.38,17.53,-13.23,12.59
1653647265985,-1.03,1.5,3.01,-3.28,5.2,10.61,12.07,-22.43,15.28
1653647265989,-1.09,1.8,3.14,-3.33,5.47,10.74,7.73,-28.56,16.79
1653647265994,-1.17,2.13,3.28,-3.32,5.87,11.09,1.36,-35.7,18.19
1653647265999,-1.2,2.45,3.48,-3.2,6.07,11.45,-6.61,-42.8,18.05
1653647266004,-1.13,2.65,3.75,-3.04,6.13,11.74,-11.93,-47.08,16.16
1653647266009,-0.98,2.74,4.06,-2.81,6.21,12.32,-14.84,-49.49,13.88
1653647266013,-0.82,2.78,4.44,-2.66,6.2,12.75,-16.97,-52.15,9.79
1653647266018,-0.68,2.78,4.82,-2.62,6.16,13.03,-16.55,-53.9,3.38
1653647266023,-0.61,2.72,5.09,-2.66,6.15,13.24,-14.1,-54.11,-1.76
1653647266028,-0.65,2.67,5.25,-2.65,6.09,13.39,-10.04,-53.59,-6.63
1653647266033,-0.7,2.61,5.35,-2.42,5.98,13.43,-4.83,-53.73,-11.49
1653647266037,-0.58,2.5,5.36,-2.42,5.86,13.38,1.15,-53.52,-16.04
1653647266042,-0.49,2.32,5.26,-2.61,5.75,13.13,6.3,-52.5,-18.7
1653647266047,-0.66,2.19,5.03,-2.65,5.68,12.74,15.19,-49.25,-21.64
1653647266052,-0.77,2.08,4.64,-2.6,5.64,12.32,21.84,-46.03,-22.66
1653647266057,-0.76,1.99,4.19,-2.58,5.65,11.84,26.49,-42.94,-23.04
1653647266061,-0.73,1.95,3.69,-2.7,5.72,11.33,33.6,-36.29,-22.31
1653647266066,-0.8,1.96,3.16,-2.89,5.82,10.81,38.71,-30.17,-21.22
1653647266071,-0.98,1.99,2.62,-3.02,6.1,10.38,42.59,-24.6,-19.47
1653647266076,-1.14,2.06,2.16,-2.85,6.57,10.37,47.25,-22.89,-18.49
1653647266081,-1.05,2.55,1.97,-2.47,7.37,10.28,50.01,-28.31,-20.17
1653647266085,-0.73,3.22,1.91,-2.31,7.5,10.02,48.82,-34.47,-21.19
1653647266090,-0.54,3.46,1.73,-2.27,7.42,9.66,44.55,-46.31,-21.71
1653647266095,-0.48,3.34,1.3,-2.28,6.88,9.08,43.57,-48.23,-21.92
1653647266100,-0.5,3,0.85,-2.29,6.62,8.99,36.99,-55.76,-21.5
1653647266105,-0.55,2.5,0.59,-2.42,6.04,8.99,31.95,-59.78,-21.5
1653647266109,-0.67,1.98,0.53,-2.54,5.79,9.35,20.86,-67.83,-22.13
1653647266114,-0.81,1.61,0.69,-2.58,5.82,9.55,15.75,-72.28,-23.08
1653647266119,-0.93,1.54,1.04,-2.65,5.87,10.01,11.09,-77.28,-23.67
1653647266124,-1.03,1.58,1.48,-2.6,5.91,10.64,7.42,-84.56,-25.18
1653647266129,-1.06,1.6,1.91,-2.46,5.86,11.29,7.49,-90.97,-26.23
1653647266134,-1,1.56,2.51,-2.3,5.69,11.56,9.62,-96.25,-27.98
1653647266138,-0.86,1.38,2.93,-1.96,5.18,11.49,12.63,-97.79,-30.95
1653647266143,-0.64,1,2.92,-1.68,4.64,11.24,15.71,-95.1,-35.71
1653647266148,-0.42,0.49,2.7,-1.47,4.04,10.95,17.92,-90.51,-39.67
1653647266153,-0.22,-0.12,2.39,-1.25,3.44,10.64,19.84,-79.35,-47.37
1653647266158,-0.04,-0.72,2.07,-1.1,2.92,10.36,20.58,-68.36,-53.25
1653647266162,0.11,-1.27,1.77,-1.04,2.57,10.12,20.3,-56.39,-58.39
1653647266167,0.2,-1.74,1.44,-1.2,2.2,9.62,18.97,-43.08,-62.14
1653647266172,0.11,-2.06,1.05,-1.45,2.02,9.27,16.87,-29.33,-64.17
1653647266177,-0.1,-2.27,0.68,-1.76,1.93,9.07,12.21,-17.39,-63.96
1653647266182,-0.36,-2.36,0.41,-2.14,1.9,8.79,5.11,-7.59,-61.72
1653647266186,-0.7,-2.39,0.19,-2.54,2.01,8.34,-0.8,0.31,-59.09
1653647266191,-1.05,-2.31,-0.22,-2.91,2.22,8.17,-9.73,13.26,-52.97
1653647266196,-1.4,-2.09,-0.52,-3.09,2.33,8.24,-13.12,17.08,-49.92
1653647266201,-1.69,-1.83,-0.44,-3.44,2.72,8.8,-21.7,21.42,-38.86
1653647266206,-1.89,-1.54,-0.09,-3.61,2.88,9.16,-25.23,19,-32.77
1653647266210,-2.08,-1.27,0.36,-3.84,3.15,9.75,-29.54,9.55,-22.27
1653647266215,-2.24,-1.03,0.81,-4.01,3.35,10.23,-31.32,-1.71,-14.15
1653647266220,-2.41,-0.78,1.27,-4.12,3.47,10.61,-31.36,-11.72,-8.52
